id,title,body
"YSC2190135000","Card Was Delivered To Me By The Post Office","On June 9, 2021, the Post Office delivered your new card for Receipt Number YSC2190135000, to the address that you gave us.  The tracking number assigned is 9205590153708407893494.  You can use your tracking number at <a href=""https://tools.usps.com/go/TrackConfirmAction_input?origTrackNum=9205590153708407893494"" target=""_blank"">www.USPS.com</a> in the Quick Tools Tracking section.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135001","Case Was Received","On April 7, 2021, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC2190135001, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you have any questions, contact the USCIS Contact Center at <a href=""https://www.uscis.gov/contactcenter"" target=""_blank"">www.uscis.gov/contactcenter</a>.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135002","Card Was Delivered To Me By The Post Office","On June 18, 2021, the Post Office delivered your new card for Receipt Number YSC2190135002, to the address that you gave us.  The tracking number assigned is 9205590153708408267904.  You can use your tracking number at <a href=""https://tools.usps.com/go/TrackConfirmAction_input?origTrackNum=9205590153708408267904"" target=""_blank"">www.USPS.com</a> in the Quick Tools Tracking section.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135003","Card Was Delivered To Me By The Post Office","On June 24, 2021, the Post Office delivered your new card for Receipt Number YSC2190135003, to the address that you gave us.  The tracking number assigned is 9205590153708608462376.  You can use your tracking number at <a href=""https://tools.usps.com/go/TrackConfirmAction_input?origTrackNum=9205590153708608462376"" target=""_blank"">www.USPS.com</a> in the Quick Tools Tracking section.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135004","Card Was Picked Up By The United States Postal Service","On June 23, 2021, the Post Office picked up mail containing your new card for Receipt Number YSC2190135004. We mailed your card to the address you gave us. The tracking number assigned is 9205590153708608454678. You can use your tracking number at <a href=""https://tools.usps.com/go/TrackConfirmAction_input?origTrackNum=9205590153708608454678"" target=""_blank"">www.USPS.com</a> in the Quick Tools Tracking section. If you did not receive the card, please go to <a href=""https://egov.uscis.gov/e-Request/Intro.do"" target=""_blank"">www.uscis.gov/e-request</a> to request that we resend the card to you. If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135005","Card Was Delivered To Me By The Post Office","On June 8, 2021, the Post Office delivered your new card for Receipt Number YSC2190135005, to the address that you gave us.  The tracking number assigned is 9205590153708407788639.  You can use your tracking number at <a href=""https://tools.usps.com/go/TrackConfirmAction_input?origTrackNum=9205590153708407788639"" target=""_blank"">www.USPS.com</a> in the Quick Tools Tracking section.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135006","Card Was Returned To USCIS","On June 25, 2021, the Post Office returned your new card for Form I-765, Application for Employment Authorization, Receipt Number YSC2190135006, to us.  We mailed your card to the address you gave us, but the Post Office could not deliver it. The tracking number assigned is 9205590153708408290049.  You can use your tracking number at www.USPS.com in the Quick Tools &gt; Track a Package section. We will destroy your new card if we do not receive an address update by September 15, 2021. Please go to <a href=""https://egov.uscis.gov/e-Request/Intro.do"" target=""_blank"">www.uscis.gov/e-request</a> to request that we resend the card to you.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135007","Card Was Delivered To Me By The Post Office","On June 19, 2021, the Post Office delivered your new card for Receipt Number YSC2190135007, to the address that you gave us.  The tracking number assigned is 9205590153708408290056.  You can use your tracking number at <a href=""https://tools.usps.com/go/TrackConfirmAction_input?origTrackNum=9205590153708408290056"" target=""_blank"">www.USPS.com</a> in the Quick Tools Tracking section.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135008","Card Was Delivered To Me By The Post Office","On June 17, 2021, the Post Office delivered your new card for Receipt Number YSC2190135008, to the address that you gave us.  The tracking number assigned is 9205590153708408185147.  You can use your tracking number at <a href=""https://tools.usps.com/go/TrackConfirmAction_input?origTrackNum=9205590153708408185147"" target=""_blank"">www.USPS.com</a> in the Quick Tools Tracking section.  If you move, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
"YSC2190135009","Petition/Application Was Rejected For Insufficient Funds","On April 22, 2021, we rejected your Form I-765, Application for Employment Authorization, Receipt Number YSC2190135009 because your filing fee was returned by your financial institution for insufficient funds. Any previously assigned priority or processing date is no longer applicable. If you wish to still pursue the benefit, you must file a new application or petition and submit a new fee filing fee. If you need assistance, contact the USCIS Contact Center at <a href=""https://www.uscis.gov/contactcenter"" target=""_blank"">www.uscis.gov/contactcenter</a>. If you change your mailing address, go to <a href=""https://egov.uscis.gov/coa/displayCOAForm.do"" target=""_blank"">www.uscis.gov/addresschange</a> to give us your new mailing address."
